Species,Indiv,Pos,SL,CBL_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL,alpha_Pos,d,D_Pos,alpha_Ant,D_Ant,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,Body Shape,Habitat_Initial ,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,d_BW,D_Pos_BW,D_Ant_BW
Lepidogalaxias_salamandroides,1,40,2345,62.48,1.30,16.91,39.59,1.45,39.47,0.0266,74.5508,0.0072,0.0169,83.1185,0.0168,1789.39,7.30873,1788.57,-32.2735,1838.17,5.33783,1836.2,-34.0802,1814.93,-14.1265,1814.8,-22.4108,1815.18,-5.50212,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.082027633,0.192014602,0.191415648
Lepidogalaxias_salamandroides,1,50,2345,61.26,1.41,18.39,40.17,1.44,39.45,0.0261,80.9774,0.0078,0.0171,82.2451,0.0168,1584.65,24.7159,1582.42,-15.395,1631.8,19.6022,1627,-19.5499,1607,2.95302,1606.49,-6.42447,1607.7,11.9272,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.089198669,0.194837872,0.191309011
Lepidogalaxias_salamandroides,1,60,2345,57.41,1.50,18.27,40.61,1.55,38.33,0.0245,86.0650,0.0078,0.0173,88.5888,0.0163,1345.29,49.026,1343.17,8.47478,1388.33,43.0683,1382.38,5.20762,1365.87,26.6033,1365.98,18.1992,1366.39,36.46,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.088587015,0.196941589,0.185877629
Lepidogalaxias_salamandroides,1,70,2345,52.45,1.39,14.71,36.29,1.64,36.46,0.0224,79.7160,0.0063,0.0155,94.1254,0.0155,1119.67,59.0262,1118.79,22.7454,1158.73,58.7336,1157.12,22.3065,1140.96,40.4499,1140,34.3201,1141.58,48.9483,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.071359263,0.176013263,0.176843539
Lepidogalaxias_salamandroides,1,80,2345,49.89,1.42,11.95,33.88,1.33,29.56,0.0213,81.6175,0.0051,0.0144,76.2840,0.0126,904.426,48.6283,907.446,14.8875,942.105,50.5976,946.175,21.3205,925.432,33.9241,925.695,28.2788,925.432,40.2259,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.057957351,0.164296724,0.143359126
Lepidogalaxias_salamandroides,1,90,2345,44.52,1.49,12.03,29.00,1.26,27.41,0.0190,85.6080,0.0051,0.0124,72.3303,0.0117,660.566,-1.71536,668.125,-29.7113,693.321,6.82339,701.44,-19.3528,679.604,-12.2138,681.003,-17.673,678.484,-5.91474,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.058321413,0.140642274,0.132920789
Stenobrachius_leucopsarus,1,20,1466,40.81,1.12,4.37,22.21,0.98,18.64,0.0278,64.0491,0.0030,0.0151,55.9984,0.0127,337.256,-250.417,337.026,-272.623,302.05,-252.028,301.82,-270.667,319.423,-262.383,319.423,-260.312,319.538,-264.684,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.033560308,0.170407703,0.143037946
Stenobrachius_leucopsarus,1,30,1466,39.18,1.07,4.26,22.24,1.22,19.92,0.0267,61.4550,0.0029,0.0152,69.8373,0.0136,476.415,-251.217,476.898,-273.452,443.739,-252.764,443.642,-272.679,457.95,-262.431,457.757,-264.655,457.95,-260.401,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.032676805,0.170661347,0.152820303
Stenobrachius_leucopsarus,1,40,1466,41.61,1.10,3.47,22.23,1.18,22.54,0.0284,63.0607,0.0024,0.0152,67.5397,0.0154,646.377,-249.554,646.532,-271.78,611.494,-249.708,611.494,-272.243,628.341,-260.689,628.405,-262.304,628.415,-258.834,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.026627284,0.170556182,0.172923157
Stenobrachius_leucopsarus,1,50,1466,43.42,1.14,4.40,25.89,1.28,22.79,0.0296,65.1742,0.0030,0.0177,73.3884,0.0155,786.052,-246.44,785.838,-272.332,750.637,-248.152,750.209,-270.941,765.708,-260.025,765.659,-262.102,765.708,-257.7,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.033781003,0.198690007,0.174903074
Stenobrachius_leucopsarus,1,60,1466,43.95,1.23,5.46,26.36,1.36,26.36,0.0300,70.6125,0.0037,0.0180,78.1716,0.0180,928.011,-245.859,927.868,-272.216,893.203,-246.145,893.06,-272.502,909.35,-259.742,909.262,-262.335,909.473,-256.88,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.041890447,0.202254392,0.202254392
Stenobrachius_leucopsarus,1,70,1466,42.64,1.22,5.38,25.46,1.31,25.34,0.0291,69.9618,0.0037,0.0174,75.3430,0.0173,1071.76,-246.597,1072.25,-272.056,1037.53,-246.353,1037.28,-271.691,1053.81,-259.389,1053.92,-261.855,1053.79,-256.475,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.04129568,0.19539676,0.194441545
Stenobrachius_leucopsarus,1,80,1466,40.94,1.11,4.94,23.36,1.22,22.40,0.0279,63.6741,0.0034,0.0159,69.6688,0.0153,1217.81,-249.542,1217.1,-272.892,1182.49,-248.238,1182.73,-270.64,1198.66,-260.444,1198.71,-262.776,1198.73,-257.839,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.037884563,0.179259902,0.171912442
Stenobrachius_leucopsarus,1,90,1466,39.53,1.10,4.92,20.41,1.11,21.04,0.0270,62.7728,0.0034,0.0139,63.4823,0.0143,1362.75,-258.917,1361.25,-279.271,1329,-256.239,1327.72,-277.236,1345.3,-268.172,1345.3,-270.413,1345.4,-265.494,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,130.318,541,329.991,671,0.037753928,0.156610728,0.161420363
Percopsis_omiscomaycus,1,30,1071,25.09,1.58,0.00,22.39,1.54,15.00,0.0234,90.5791,0.0000,0.0209,88.0545,0.0140,1072.17,-165.987,1070.6,-188.324,1090.57,-168.877,1089.78,-183.857,1082.42,-176.104,1082.42,-176.104,1082.42,-176.104,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0,0.126312119,0.084618429
Percopsis_omiscomaycus,1,40,1071,27.71,1.23,0.57,16.73,1.34,16.53,0.0259,70.6396,0.0005,0.0156,76.8520,0.0154,968.646,-164.259,968.343,-180.986,990.813,-164.763,990.511,-181.288,980.261,-173.501,980.332,-173.713,980.296,-173.149,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0.003187954,0.094371173,0.093231793
Percopsis_omiscomaycus,1,50,1071,27.80,1.11,0.92,14.65,1.15,15.02,0.0260,63.7025,0.0009,0.0137,65.8294,0.0140,866.209,-170.475,866.311,-185.126,888.899,-169.355,890.323,-184.312,878.051,-177.862,878.112,-178.35,878.051,-177.435,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0.0051729,0.082647144,0.084752781
Percopsis_omiscomaycus,1,60,1071,29.49,1.15,0.85,16.04,1.25,17.26,0.0275,65.7710,0.0008,0.0150,71.6399,0.0161,740.265,-179.017,741.043,-195.039,763.852,-176.347,765.966,-193.481,752.983,-185.735,752.983,-186.12,752.983,-185.274,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0.00477222,0.090485334,0.09738442
Percopsis_omiscomaycus,1,70,1071,27.79,1.23,0.73,15.53,1.27,17.12,0.0259,70.5142,0.0007,0.0145,72.9357,0.0160,639.761,-192.569,642.645,-207.826,662.181,-187.917,664.693,-204.849,652.041,-198.43,652.122,-198.762,651.963,-198.045,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0.004142795,0.087587637,0.096557479
Percopsis_omiscomaycus,1,80,1071,29.21,1.25,0.70,15.91,1.15,17.06,0.0273,71.3578,0.0007,0.0149,65.6265,0.0159,537.569,-211.307,540.724,-226.9,561.364,-205.809,564.518,-222.574,550.047,-217.13,550.104,-217.417,550.039,-216.723,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0.003931933,0.089741313,0.096229052
Percopsis_omiscomaycus,1,90,1071,27.59,1.31,0.59,16.11,1.22,16.45,0.0258,75.0726,0.0005,0.0150,70.0002,0.0154,416.695,-242.822,420.58,-258.455,438.107,-237.232,442.276,-253.149,428.808,-248.099,428.868,-248.401,428.747,-247.828,Fusiform,Benthic,demersal,demersal,demersal,freshwater,177.276,848,270.766,958,0.003303529,0.090866809,0.092815265
Microgadus_proximus,1,30,1398,29.17,1.65,1.83,22.02,1.49,20.57,0.0209,94.5905,0.0013,0.0157,85.5411,0.0147,1113.21,75.696,1116.25,53.89,1091.55,72.5217,1095.69,52.3719,1104.71,63.1103,1104.8,62.3514,1104.37,64.1347,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.010530662,0.126390726,0.118088763
Microgadus_proximus,1,40,1398,31.39,1.65,2.79,22.99,1.34,20.19,0.0225,94.3238,0.0020,0.0164,76.7003,0.0144,973.43,72.168,975.226,49.2437,950.848,70.3717,951.019,50.1846,963.667,61.0116,963.703,59.562,963.703,62.3526,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.016019794,0.132003112,0.115890769
Microgadus_proximus,1,50,1398,22.77,1.54,3.27,21.21,1.48,21.59,0.0163,88.4702,0.0023,0.0152,84.6015,0.0154,811.724,60.5329,813.336,39.3802,835.912,41.0876,834.394,62.6197,823.296,51.6165,823.675,50.0039,823.106,53.229,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.018800033,0.121781859,0.123914549
Microgadus_proximus,1,60,1398,32.18,1.47,2.63,21.21,1.54,22.87,0.0230,84.3583,0.0019,0.0152,88.1967,0.0164,692.623,52.4951,693.811,31.3177,715.532,55.1654,717.759,32.4062,704.888,42.7902,704.94,41.502,704.785,44.1298,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.015111439,0.121762693,0.131276067
Microgadus_proximus,1,70,1398,32.33,1.35,2.46,19.88,1.44,21.79,0.0231,77.2593,0.0018,0.0142,82.4131,0.0156,543.017,37.3642,544.023,17.5122,566.803,40.7491,569.73,19.159,555.898,28.6183,555.903,27.5109,555.832,29.9683,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.014112904,0.114109159,0.125074515
Microgadus_proximus,1,80,1398,30.45,1.29,2.13,17.64,1.35,19.87,0.0218,73.7433,0.0015,0.0126,77.1872,0.0142,414.252,19.7084,416.214,2.18053,438.108,23.8214,440.386,4.07885,426.866,12.6383,427.05,11.6865,426.835,13.805,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.012223987,0.101249375,0.114086576
Microgadus_proximus,1,90,1398,30.33,1.19,1.92,16.82,1.31,17.95,0.0217,67.9111,0.0014,0.0120,75.0738,0.0128,260.498,-5.44727,264.381,-21.8111,284.221,-0.413733,288.141,-17.9282,274.666,-11.097,274.801,-11.9984,274.508,-10.1054,Fusiform,Benthic,demersal,demersal,demersal,marine,174.197,1012,345.93,1042,0.010996407,0.096547144,0.103031534
Polymixia_lowei,1,30,1401,47.47,1.14,1.10,26.20,1.18,25.48,0.0339,65.0318,0.0008,0.0187,67.8868,0.0182,1378.94,-104.39,1374.95,-130.28,1417.53,-110.681,1414.39,-135.966,1397.24,-120.542,1397.35,-121.145,1397.24,-120.049,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.006064561,0.144225361,0.140280919
Polymixia_lowei,1,40,1401,42.82,1.10,2.75,23.22,1.15,21.72,0.0306,63.1297,0.0020,0.0166,65.6239,0.0155,1231.86,-79.6053,1228.94,-102.646,1266.86,-85.8758,1264.38,-107.458,1249.2,-93.062,1249.12,-94.3725,1249.32,-91.6325,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.015125748,0.127869802,0.119607006
Polymixia_lowei,1,50,1401,43.71,0.93,3.08,21.43,1.17,21.15,0.0312,53.1637,0.0022,0.0153,66.9415,0.0151,1120.23,-68.2302,1118.15,-89.5563,1156.98,-72.7142,1155.67,-93.8215,1140.46,-81.3354,1140.7,-82.7642,1140.22,-79.7241,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.01694522,0.11797222,0.116434029
Polymixia_lowei,1,60,1401,44.22,1.10,4.43,24.06,1.13,22.59,0.0316,62.9226,0.0032,0.0172,64.8111,0.0161,967.447,-70.1319,970.354,-94.0164,1004.47,-66.2143,1007.63,-88.5824,988.359,-79.2707,988.651,-81.4656,988.066,-77.0758,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.02438258,0.132471267,0.124374872
Polymixia_lowei,1,70,1401,43.99,1.10,4.08,24.34,1.17,23.00,0.0314,62.9563,0.0029,0.0174,67.0686,0.0164,816.62,-104.28,821.658,-128.097,852.192,-96.1887,858.296,-118.36,838.297,-110.939,838.839,-112.78,837.647,-108.881,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.022447499,0.134030789,0.126610159
Polymixia_lowei,1,80,1401,44.87,1.12,2.77,24.44,1.14,23.67,0.0320,64.2433,0.0020,0.0174,65.1810,0.0169,662.087,-138.684,666.543,-162.715,698.85,-131.363,704.102,-154.439,683.36,-146.692,683.587,-147.999,683.076,-145.272,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.015275362,0.134562794,0.130298524
Polymixia_lowei,1,90,1401,44.70,1.07,3.14,22.07,1.04,23.01,0.0319,61.3396,0.0022,0.0158,59.5999,0.0164,543.191,-165.051,546.866,-186.816,580.502,-157.137,585.449,-179.608,563.283,-172.331,563.597,-173.837,562.97,-170.762,Deep bodied,Benthic,demersal,demersal,demersal,marine,181.63,1273,517.77,1223,0.017278382,0.12152772,0.126681161
Myripristis_jacobus,1,40,597,21.25,1.23,0.00,13.22,1.52,13.96,0.0356,70.7257,0.0000,0.0221,86.9638,0.0234,260.898,92.5265,267.266,80.939,246.074,85.8454,252.025,73.2141,255.783,82.5049,255.783,82.5049,255.783,82.5049,Deep bodied,Reef associated,demersal,reef associated,demersal,marine,138.578,254,278.439,294,0,0.095412051,0.100758822
Myripristis_jacobus,1,50,597,22.32,1.01,1.35,11.24,1.10,11.20,0.0374,58.1386,0.0023,0.0188,62.9552,0.0188,317.77,115.505,320.147,104.52,298.67,109.93,302.359,99.3556,309.09,107.82,308.999,108.615,309.203,107.276,Deep bodied,Reef associated,demersal,reef associated,demersal,marine,138.578,254,278.439,294,0.009773924,0.081104019,0.080816611
Myripristis_jacobus,1,60,597,22.39,0.83,1.02,9.36,1.01,10.34,0.0375,47.3962,0.0017,0.0157,58.1460,0.0173,378.892,123.385,379.011,114.026,358.659,122.603,359.44,112.291,368.293,118.45,368.313,117.905,368.223,118.926,Deep bodied,Reef associated,demersal,reef associated,demersal,marine,138.578,254,278.439,294,0.007396261,0.067541432,0.074626081
Myripristis_jacobus,1,70,597,21.13,1.03,2.10,10.53,1.14,11.05,0.0354,58.8626,0.0035,0.0176,65.5210,0.0185,437.098,122.625,436.429,112.117,419.028,123.294,418.693,112.251,427.443,117.805,427.497,116.829,427.461,118.926,Deep bodied,Reef associated,demersal,reef associated,demersal,marine,138.578,254,278.439,294,0.015134502,0.075980853,0.079724632
Myripristis_jacobus,1,80,597,20.80,1.12,0.86,11.31,1.23,11.51,0.0348,64.3393,0.0014,0.0189,70.5367,0.0193,493.266,122.957,493.328,111.647,475.934,122.158,476.487,110.664,484.343,116.61,484.382,116.26,484.323,117.114,Deep bodied,Reef associated,demersal,reef associated,demersal,marine,138.578,254,278.439,294,0.006177284,0.081615913,0.083038399
Myripristis_jacobus,1,90,597,20.62,1.27,1.14,11.86,1.09,11.19,0.0345,73.0421,0.0019,0.0199,62.3276,0.0187,567.923,128.115,568.804,116.284,550.616,126.542,551.686,115.403,560.385,121.489,560.425,120.965,560.372,122.105,Deep bodied,Reef associated,demersal,reef associated,demersal,marine,138.578,254,278.439,294,0.0082353,0.085610679,0.080750722
Opsanus_pardus,1,40,1015,30.80,1.28,0.00,18.16,1.80,24.06,0.0303,73.3286,0.0000,0.0179,103.2669,0.0237,464.285,-129.066,468.589,-146.711,443.198,-131.218,447.502,-154.887,454.674,-141.116,454.674,-141.116,454.674,-141.116,Tadpole shaped,Reef associated,benthic,reef associated,benthic,marine,225.482,429,236.709,509,0,0.080548939,0.106692063
Opsanus_pardus,1,50,1015,31.22,1.04,3.88,15.28,1.29,18.70,0.0308,59.6500,0.0038,0.0151,74.1965,0.0184,583.223,-103.756,585.442,-118.873,558.121,-106.253,560.201,-124.836,571.493,-114.717,571.493,-116.749,571.37,-112.87,Tadpole shaped,Reef associated,benthic,reef associated,benthic,marine,225.482,429,236.709,509,0.017211794,0.067761479,0.082929214
Opsanus_pardus,1,60,1015,28.20,1.22,1.67,15.49,1.40,18.05,0.0278,69.6242,0.0016,0.0153,80.0789,0.0178,677.082,-100.395,675.879,-115.837,654.62,-99.3919,654.62,-117.442,665.359,-108.245,665.417,-109.02,665.302,-107.354,Tadpole shaped,Reef associated,benthic,reef associated,benthic,marine,225.482,429,236.709,509,0.007406198,0.068691907,0.080051179
Opsanus_pardus,1,70,1015,29.27,1.20,1.45,15.54,1.31,16.85,0.0288,68.5860,0.0014,0.0153,74.8270,0.0166,767.672,-113.306,763.944,-128.394,746.627,-109.281,740.891,-125.125,754.564,-119.106,754.672,-119.937,754.861,-118.497,Tadpole shaped,Reef associated,benthic,reef associated,benthic,marine,225.482,429,236.709,509,0.006441091,0.06892675,0.074730321
Opsanus_pardus,1,80,1015,24.64,1.33,0.65,13.93,1.24,15.18,0.0243,76.1214,0.0006,0.0137,71.0247,0.0150,875.926,-138.158,872.629,-151.691,856.554,-133.83,853.668,-148.737,865.488,-143.621,865.457,-143.962,865.488,-143.311,Tadpole shaped,Reef associated,benthic,reef associated,benthic,marine,225.482,429,236.709,509,0.00289042,0.061773577,0.06733928
Opsanus_pardus,1,90,1015,23.70,1.30,0.00,12.95,1.25,14.45,0.0233,74.7472,0.0000,0.0128,71.7868,0.0142,960.626,-147.409,960.91,-160.356,942.725,-147.619,941.989,-162.049,952.296,-154.172,952.296,-154.172,952.296,-154.172,Tadpole shaped,Reef associated,benthic,reef associated,benthic,marine,225.482,429,236.709,509,0,0.05743303,0.064079428
Nealotus_tripes,1,20,1810,32.39,1.11,3.21,15.61,1.09,16.55,0.0179,63.4679,0.0018,0.0086,62.4637,0.0091,433.711,-91.0405,436.524,-106.392,408.197,-101.494,414.221,-116.909,423.714,-103.749,424.268,-105.167,423.141,-102.158,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.033001729,0.160298867,0.169985886
Nealotus_tripes,1,30,1810,45.91,0.79,3.76,17.49,0.85,18.81,0.0254,45.2031,0.0021,0.0097,48.9563,0.0104,635.461,-126.638,626.99,-141.941,601.278,-105.254,589.99,-120.305,613.287,-123.379,612.196,-124.834,614.469,-121.834,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.038658056,0.179649563,0.193232507
Nealotus_tripes,1,40,1810,46.95,0.80,3.60,18.90,0.86,19.17,0.0259,45.8807,0.0020,0.0104,49.2264,0.0106,804.445,-171.339,805.31,-190.221,761.494,-171.772,761.782,-190.941,782.559,-181.004,782.571,-182.956,782.571,-179.354,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.036995763,0.194138429,0.196905003
Nealotus_tripes,1,50,1810,46.32,0.80,3.28,18.59,0.84,19.48,0.0256,45.7749,0.0018,0.0103,48.3634,0.0108,992.967,-195.37,988.333,-213.373,951.971,-180.754,946.839,-199.546,969.899,-197.168,969.536,-198.656,970.454,-195.504,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.03371894,0.190934241,0.200078689
Nealotus_tripes,1,60,1810,47.02,0.88,3.16,20.66,0.88,20.40,0.0260,50.1610,0.0017,0.0114,50.4099,0.0113,1169.33,-259.833,1164.24,-279.861,1129.45,-244.727,1122.49,-263.906,1146.07,-262.404,1145.62,-263.98,1146.39,-260.917,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.032438584,0.212244727,0.209555364
Nealotus_tripes,1,70,1810,46.44,0.90,2.69,20.39,0.90,20.37,0.0257,51.7429,0.0015,0.0113,51.6762,0.0113,1347.31,-281.889,1346.43,-302.257,1304.93,-280.244,1304.81,-300.612,1325.86,-291.508,1325.9,-292.834,1325.88,-290.141,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.027660283,0.209392747,0.209201217
Nealotus_tripes,1,80,1810,45.89,0.92,2.91,19.61,0.85,19.33,0.0254,52.8184,0.0016,0.0108,48.9527,0.0107,1522.98,-280.01,1524.1,-299.589,1482.57,-282.879,1482.82,-302.208,1503.82,-290.789,1503.88,-292.217,1503.76,-289.305,Fusiform,Pelagic,pelagic,pelagic,pelagic,marine,97.3625,672,213.684,1242,0.02993423,0.201422603,0.198542731
